strategy,fraction_mal,magnitude,frac_fit,frac_eval,min_fit_clients,min_eval_clients,min_available_clients,num_clients,num_malicious,attack,iid,dataset_name,confusion_matrix,warmup_rounds,round,accuracy,loss
fltrust,0,0,1,0,10,0,10,1,0,gaussian,True,cifar,"[[0, 0], [0, 0]]",1,0,0.0969,461.1799831390381
avg,0,0,1,0,10,0,10,1,0,no attack,True,income,"[[0, 0], [0, 0]]",1,0,0.7202868852459017,0.6931471805599453
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,1,0.7202868852459017,0.64676794849164
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,2,0.7202868852459017,0.64676794849164
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,3,0.7202868852459017,0.64676794849164
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,4,0.7202868852459017,0.64676794849164
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,5,0.7202868852459017,0.64676794849164
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,6,0.7202868852459017,0.64676794849164
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,7,0.7202868852459017,0.64676794849164
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,8,0.7202868852459017,0.64676794849164
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,9,0.7202868852459017,0.64676794849164
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,10,0.7202868852459017,0.64676794849164
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,11,0.7202868852459017,0.64676794849164
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,12,0.7202868852459017,0.64676794849164
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,13,0.7202868852459017,0.64676794849164
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,14,0.7202868852459017,0.64676794849164
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,15,0.7202868852459017,0.64676794849164
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,16,0.7202868852459017,0.64676794849164
